id	subject	timestamp	article_url	sender	instance_id	tags	topsentence
5884bbb9cd4d74345b00000c	DEADLY STORMS: At least 11 killed, 23 injured after severe weather strikes central Georgia	2017-01-22T09:03:22-05:00	http://www.foxnews.com/us/2017/01/22/11-people-killed-in-georgia-following-severe-weather.html	FoxNews.com		['severe weather', 'outbreak', 'deadly storms', '23', 'killed', 'state emergency management officials announce', 'dozen', '11', 'georgia', 'severe weather strikes']	At least 11 people are dead and nearly two dozen injured in an outbreak of severe weather across central Georgia, state emergency management officials announce.
5884e8a5cd4d74345b000013	2 MLB PLAYERS DIE: Yordano Ventura, Andy Marte killed in separate car crashes	2017-01-22T12:15:01-05:00	http://www.foxnews.com/sports/2017/01/22/current-former-major-leaguers-die-in-dominican-crashes.html	FoxNews.com		['dominican republic', 'mlb players die yordano ventura andy marte', 'separate car crashes', 'authorities say', 'royals', '2', 'yordano ventura', 'infielder', 'andy marte', 'kansas', 'pitcher']	Kansas City Royals pitcher Yordano Ventura, former Indians infielder Andy Marte have both been killed in separate car crashes in the Dominican Republic, authorities say.
58862d44cd4d747787000004	BARBARA BUSH OUT OF HOSPITAL: Former first lady discharged, former president moving from ICU	2017-01-23T11:20:18-05:00	http://www.foxnews.com/	FoxNews.com		['barbara bush out of hospital', 'houston', 'methodist hospital', 'icu', 'bout', 'pneumonia scare', 'barbara bush', 'bronchitis', 'lady discharged', 'lady', 'george hw bush']	Former first lady Barbara Bush was discharged from Houston Methodist Hospital after a bout of bronchitis, doctors announce, saying former President George HW Bush is moving out of the ICU today after a pneumonia scare.
588638a7cd4d74778700000b	TRUMP REJECTS TPP: Trade deal nixed	2017-01-23T12:08:32-05:00	http://www.foxnews.com/	FoxNews.com		['trump', 'starts', 'signs notice', 'trans-pacific partnership', 'trade deal', 'withdrawal', 'trump rejects tpp']	President Trump signs notice that starts a withdrawal from the proposed Trans-Pacific Partnership trade deal.
58864957cd4d747787000015	WATCH LIVE: White House Press Secretary Sean Spicer holds first full-scale briefing	2017-01-23T13:19:56-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['130', 'white house press secretary', 'sean spicer', 'media', 'inauguration crowd sizes', 'foxnews.com.', 'news channel']	White House Press Secretary Sean Spicer holds his first full-scale briefing at 1:30 p.m.
58868aa5cd4d74778700001b	EARLY APPROVAL: Trump’s Secretary of State pick clears first Senate hurdle	2017-01-23T17:58:25-05:00	http://www.foxnews.com/	FoxNews.com		['nominee', 'senate', 'rex tillerson', 'relations', 'party-line vote', 'committee votes', '11-10', 'early approval trump’s', 'senate hurdle', 'donald trump’s', 'secretary']	The Senate Foreign Relations Committee votes to confirm Rex Tillerson, President Donald Trump’s nominee for secretary of state, on an 11-10 party-line vote.
5886aa96cd4d747787000020	SENATE OKS SPYMASTER: Mike Pompeo approved as CIA Director	2017-01-23T20:14:41-05:00	http://www.foxnews.com/	FoxNews.com		['nominations', 'cia', 'senate', 'director', '66-32', 'mike pompeo', 'donald trump’s', 'senate oks spymaster mike pompeo', 'kansas', 'confirmed']	The Senate voted 66-32 to confirm former Kansas Rep. Mike Pompeo as director of the CIA, the third of Donald Trump’s nominations to be confirmed.
58875be3cd4d741ed800000f	OSCAR NOMINATIONS: Contenders for Best Picture award	2017-01-24T08:51:24-05:00	http://www.foxnews.com/entertainment/2017/01/24/oscar-nominations-la-la-land-leads-with-14-nods.html	FoxNews.com		['land', 'la', '89th academy', 'best picture', 'awards', 'honor', 'ridge', films 'arrival' 'hacksaw, 'figures', 'hidden', 'manchester', 'oscar nominations contenders', 'award', 'water', 'sea', lion' 'moonlight' 'fences' 'hell]The films 'Arrival', 'Hacksaw Ridge', 'Hidden Figures', 'Lion', 'Moonlight', 'Fences', 'Hell or High Water', 'La La Land' and 'Manchester by the Sea' have been nominated for the Best Picture honor at the 89th Academy Awards.	
58876507cd4d741ed8000015	EXECUTIVE ACTIONS: Trump to revive pipeline projects	2017-01-24T09:30:13-05:00	http://www.foxnews.com/politics/2017/01/24/trump-to-sign-orders-reviving-pipeline-projects-sources-say.html	FoxNews.com		['pipeline projects', 'obama', 'trump', 'pipelines', 'dakota access', 'executive actions trump', 'fox news', 'administration sources', 'keystone xl', 'executive orders']	President Trump plans to sign executive orders reviving the Keystone XL and Dakota Access pipelines, which had been stalled under the Obama administration, sources tell Fox News.
58876b09cd4d741ed8000017	COMEY STAYS: FBI director to remain on job under Trump	2017-01-24T09:56:06-05:00	http://www.foxnews.com/politics/2017/01/24/trump-retains-fbi-director-james-comey-source-says.html	FoxNews.com		['clinton', 'trump', 'presidential campaign', 'law enforcement source', 'fbi director', 'job', 'investigation', 'comey stays', 'fox news', 'james comey', 'time being']	FBI Director James Comey, who came under fire during the presidential campaign for his handling of the Clinton investigation, will stay on the job for the time being, a law enforcement source confirmed to Fox News.
5887dde3cd4d742c5f000005	FOX NEWS POLL: Fake news is hurting the US, voters say	2017-01-24T18:05:44-05:00	http://www.foxnews.com/politics/2017/01/24/fox-news-poll-fake-news-hurting-us.html	FoxNews.com		['voters', 'backgrounds', 'bogus ones', 'us', 'difference', 'fake news', 'real news stories', 'national poll', 'fox news poll fake', 'nation']	Voters of all backgrounds are concerned fake news is hurting the nation, but most believe they can tell the difference between real news stories and bogus ones, according to the latest Fox News national poll.
5888baefcd4d742c5f00001d	MARKET MILESTONE: Dow hits 20K for the first time	2017-01-25T09:48:56-05:00	http://www.foxnews.com/	FoxNews.com		['dow jones', 'record intraday high', 'investor confidence', '20000', '2017', '20k', 'soars', 'market milestone dow']	Dow Jones soars above 20,000, a record intraday high signaling investor confidence for 2017.
5888fa68cd4d745609000004	WATCH LIVE: Trump to speak after signing executive orders on immigration	2017-01-25T14:20:01-05:00	http://video.foxnews.com/v/2553565094001/#sp=watch-live	FoxNews.com		['border wall', 'immigration', 'dept', 'security', 'trump', 'sanctuary cities', 'executive orders', 'us-mexico', 'watch live trump', 'homeland']	of Homeland Security after signing executive orders to build the US-Mexico border wall and cut funding to sanctuary cities.
588901bdcd4d745609000008	COMIC LEGEND LOST: Mary Tyler Moore dead at 80	2017-01-25T14:50:56-05:00	http://www.foxnews.com/	FoxNews.com		['comic legend lost mary tyler moore', '80', 'star', 'mary tyler moore', 'age', 'news confirms', 'dick van dyke show', 'mary tyler moore show']	Mary Tyler Moore, star of ‘The Mary Tyler Moore Show’ and ‘The Dick Van Dyke Show,’ has died at the age of 80, Fox News confirms.
5889153acd4d745609000016	RECORD CLOSE: Dow ends the day above 20K	2017-01-25T16:14:24-05:00	http://www.foxnews.com/	FoxNews.com		['broad investor confidence', 'milestone', 'average', 'dow jones', 'ends', '20000', 'record close dow', '20k', 'closes']	Dow Jones Industrial Average closes above 20,000 for the first time, a milestone signaling broad investor confidence.
58893945cd4d745bea000002	FOUND ALIVE: Woman reported missing found alive walking along California freeway	2017-01-25T18:48:01-05:00	http://www.foxnews.com/us/2017/01/25/woman-reported-missing-found-walking-along-california-freeway.html	FoxNews.com		['60', 'home officials say', 'miles', 'california', 'freeway', 'woman', '28-year-old', 'found alive woman', 'weekend', 'laura lynne stacy']	Laura Lynne Stacy, a 28-year-old California woman who was reported missing over the weekend, is found alive walking alongside a freeway nearly 60 miles from her home, officials say.
588a2cb8cd4d74643500000d	BREAKING NEWS:: Mexican president cancels meeting with Trump	2017-01-26T12:06:58-05:00	http://www.foxnews.com/	FoxNews.com		['mexican president', 'enrique pena nieto', 'meeting', 'trump', 'tensions', 'border wall', 'mexican president cancels meeting']	Mexican President Enrique Peña Nieto tweeted that he canceled a planned meeting with President Trump next week following tensions over the building of the border wall.
588ab49ccd4d740b82000001	'HANNITY' EXCLUSIVE: President Trump sits down with Sean Hannity at 10 PM ET on Fox News Channel	2017-01-26T21:46:27-05:00	http://video.foxnews.com/v/1241186546001/#sp=watch-live	FoxNews.com		['10', 'trump', 'exclusive', 'exclusive cable interview', 'sits', 'news channel', 'hannity', 'donald trump', 'pm et', 'sean hannity', 'channel']	'HANNITY' EXCLUSIVE: President Trump sits down with Sean Hannity at 10 PM ET on Fox News Channel
588ac414cd4d740b82000002	'HANNITY' EXCLUSIVE: Trump defends order for visa crackdown, refugee halt	2017-01-26T22:52:48-05:00	http://www.foxnews.com/politics/2017/01/27/trump-defends-order-for-visa-crackdown-refugee-halt-cant-take-chances.html	FoxNews.com		['fox news’ sean hannity', '120', 'visas', 'exclusive trump', 'refugee program', 'countries', 'visa crackdown refugee', 'donald trump', 'order', 'hannity', 'seven', 'forthcoming executive orders', 'muslim', 'citizens']	President Donald Trump defended his forthcoming executive orders suspending the United States' refugee program for 120 days and halting the issuing of visas to citizens of seven predominantly Muslim countries, telling Fox News’ Sean Hannity, 'HANNITY' EXCLUSIVE: Trump defends order for visa crackdown, refugee halt
