58f63861cd4d7405950000ca	FACEBOOK KILLER DEAD : So-called Facebook Killer Steve Stephens who killed a man in Cleveland on Sunday sparking a five-state manhunt has killed himself2017-04-18T12:01:27-04:00	http://www.foxnews.com/	FoxNews.com		['so-called' 'stranger' 'pennsylvania' 'five-state manhunt' 'erie pa' 'facebook' 'man' 'killer steve stephens' 'facebook killer dead' 'easter sunday' 'cleveland' 'steve stephens']	Steve Stephens the Cleveland man who gunned down a stranger on Easter Sunday sparking a five-state manhunt killed himself after being stopped by police in Erie Pa. according to Pennsylvania State Police.
5884e8a5cd4d74345b000013	2 MLB PLAYERS DIE: Yordano Ventura Andy Marte killed in separate car crashes	2017-01-22T12:15:01-05:00	http://www.foxnews.com/sports/2017/01/22/current-former-major-leaguers-die-in-dominican-crashes.html	FoxNews.com		['dominican republic' 'mlb players die yordano ventura andy marte' 'separate car crashes' 'authorities say' 'royals' '2' 'yordano ventura' 'infielder' 'andy marte' 'kansas' 'pitcher']	Kansas City Royals pitcher Yordano Ventura former Indians infielder Andy Marte have both been killed in separate car crashes in the Dominican Republic authorities say.
58862d44cd4d747787000004	BARBARA BUSH OUT OF HOSPITAL: Former first lady discharged former president moving from ICU	2017-01-23T11:20:18-05:00	http://www.foxnews.com/	FoxNews.com		['barbara bush out of hospital' 'houston' 'methodist hospital' 'icu' 'bout' 'pneumonia scare' 'barbara bush' 'bronchitis' 'lady discharged' 'lady' 'george hw bush']	Former first lady Barbara Bush was discharged from Houston Methodist Hospital after a bout of bronchitis doctors announce saying former President George HW Bush is moving out of the ICU today after a pneumonia scare.
588638a7cd4d74778700000b	TRUMP REJECTS TPP: Trade deal nixed	2017-01-23T12:08:32-05:00	http://www.foxnews.com/	FoxNews.com		['trump' 'starts' 'signs notice' 'trans-pacific partnership' 'trade deal' 'withdrawal' 'trump rejects tpp']	President Trump signs notice that starts a withdrawal from the proposed Trans-Pacific Partnership trade deal.
58864957cd4d747787000015	WATCH LIVE: White House Press Secretary Sean Spicer holds first full-scale briefing	2017-01-23T13:19:56-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['130' 'white house press secretary' 'sean spicer' 'media' 'inauguration crowd sizes' 'foxnews.com.' 'news channel']	White House Press Secretary Sean Spicer holds his first full-scale briefing at 1:30 p.m.
58868aa5cd4d74778700001b	EARLY APPROVAL: Trump’s Secretary of State pick clears first Senate hurdle	2017-01-23T17:58:25-05:00	http://www.foxnews.com/	FoxNews.com		['nominee' 'senate' 'rex tillerson' 'relations' 'party-line vote' 'committee votes' '11-10' 'early approval trump’s' 'senate hurdle' 'donald trump’s' 'secretary']	The Senate Foreign Relations Committee votes to confirm Rex Tillerson President Donald Trump’s nominee for secretary of state on an 11-10 party-line vote.
5886aa96cd4d747787000020	SENATE OKS SPYMASTER: Mike Pompeo approved as CIA Director	2017-01-23T20:14:41-05:00	http://www.foxnews.com/	FoxNews.com		['nominations' 'cia' 'senate' 'director' '66-32' 'mike pompeo' 'donald trump’s' 'senate oks spymaster mike pompeo' 'kansas' 'confirmed']	The Senate voted 66-32 to confirm former Kansas Rep. Mike Pompeo as director of the CIA the third of Donald Trump’s nominations to be confirmed.
58875be3cd4d741ed800000f	OSCAR NOMINATIONS: Contenders for Best Picture award	2017-01-24T08:51:24-05:00	http://www.foxnews.com/entertainment/2017/01/24/oscar-nominations-la-la-land-leads-with-14-nods.html	FoxNews.com		['land' 'la' '89th academy' 'best picture' 'awards' 'honor' 'ridge' films 'arrival' 'hacksaw 'figures' 'hidden' 'manchester' 'oscar nominations contenders' 'award' 'water' 'sea' lion' 'moonlight' 'fences' 'hell]The films 'Arrival' 'Hacksaw Ridge' 'Hidden Figures' 'Lion' 'Moonlight' 'Fences' 'Hell or High Water' 'La La Land' and 'Manchester by the Sea' have been nominated for the Best Picture honor at the 89th Academy Awards.
58876507cd4d741ed8000015	EXECUTIVE ACTIONS: Trump to revive pipeline projects	2017-01-24T09:30:13-05:00	http://www.foxnews.com/politics/2017/01/24/trump-to-sign-orders-reviving-pipeline-projects-sources-say.html	FoxNews.com		['pipeline projects' 'obama' 'trump' 'pipelines' 'dakota access' 'executive actions trump' 'fox news' 'administration sources' 'keystone xl' 'executive orders']	President Trump plans to sign executive orders reviving the Keystone XL and Dakota Access pipelines which had been stalled under the Obama administration sources tell Fox News.
58876b09cd4d741ed8000017	COMEY STAYS: FBI director to remain on job under Trump	2017-01-24T09:56:06-05:00	http://www.foxnews.com/politics/2017/01/24/trump-retains-fbi-director-james-comey-source-says.html	FoxNews.com		['clinton' 'trump' 'presidential campaign' 'law enforcement source' 'fbi director' 'job' 'investigation' 'comey stays' 'fox news' 'james comey' 'time being']	FBI Director James Comey who came under fire during the presidential campaign for his handling of the Clinton investigation will stay on the job for the time being a law enforcement source confirmed to Fox News.
5887dde3cd4d742c5f000005	FOX NEWS POLL: Fake news is hurting the US voters say	2017-01-24T18:05:44-05:00	http://www.foxnews.com/politics/2017/01/24/fox-news-poll-fake-news-hurting-us.html	FoxNews.com		['voters' 'backgrounds' 'bogus ones' 'us' 'difference' 'fake news' 'real news stories' 'national poll' 'fox news poll fake' 'nation']	Voters of all backgrounds are concerned fake news is hurting the nation but most believe they can tell the difference between real news stories and bogus ones according to the latest Fox News national poll.
